archivo,carrera,nivel,codigo
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,1,CSHD111
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,1,FISD134
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,1,ICOD111
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,1,MATD113
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,1,MATD123
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,1,QUID143
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,2,IAQD222
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,2,IAQD242
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,2,IAQD253
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,2,IAQD262
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,2,MATD213
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,2,MATD223
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,3,AGRD354
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,3,IAQD312
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,3,IAQD323
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,3,IAQD333
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,3,IAQD343
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,4,AGRD412
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,4,AGRD443
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,4,AGRD453
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,4,IAQD423
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,4,IAQD432
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,4,IAQD462
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,5,AGRD522
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,5,AGRD534
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,5,AGRD553
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,5,AGRD563
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,5,IAQD511
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,5,IAQD562
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,6,ADMD511
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,6,AGRD613
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,6,AGRD623
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,6,AGRD633
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,6,AGRD643
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,6,CSHD211
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,6,CSHD300
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,7,AGRD723
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,7,AGRD733
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,7,AGRD743
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,7,AGRD752
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,7,AGRD761
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,7,CSHD400
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,7,IAQD722
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,8,ADMD611
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,8,ADMD711
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,8,AGRD800
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,8,AGRD814
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,8,AGRD822
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,8,AGRD842
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,8,TITD101
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,9,AGRD900
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,9,PRLD105
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,9,PSCD202
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,9,TITD201
