archivo,carrera,nivel,codigo
malla_ambiental,INGENIERÍA AMBIENTAL,1,CSHD111
malla_ambiental,INGENIERÍA AMBIENTAL,1,FISD134
malla_ambiental,INGENIERÍA AMBIENTAL,1,ICOD111
malla_ambiental,INGENIERÍA AMBIENTAL,1,MATD113
malla_ambiental,INGENIERÍA AMBIENTAL,1,MATD123
malla_ambiental,INGENIERÍA AMBIENTAL,1,QUID143
malla_ambiental,INGENIERÍA AMBIENTAL,2,AMBD243
malla_ambiental,INGENIERÍA AMBIENTAL,2,AMBD252
malla_ambiental,INGENIERÍA AMBIENTAL,2,CSHD211
malla_ambiental,INGENIERÍA AMBIENTAL,2,CVLD233
malla_ambiental,INGENIERÍA AMBIENTAL,2,MATD213
malla_ambiental,INGENIERÍA AMBIENTAL,2,MATD223
malla_ambiental,INGENIERÍA AMBIENTAL,3,AMBD313
malla_ambiental,INGENIERÍA AMBIENTAL,3,AMBD323
malla_ambiental,INGENIERÍA AMBIENTAL,3,AMBD333
malla_ambiental,INGENIERÍA AMBIENTAL,3,AMBD342
malla_ambiental,INGENIERÍA AMBIENTAL,3,AMBD353
malla_ambiental,INGENIERÍA AMBIENTAL,3,CSHD300
malla_ambiental,INGENIERÍA AMBIENTAL,4,AMBD424
malla_ambiental,INGENIERÍA AMBIENTAL,4,AMBD434
malla_ambiental,INGENIERÍA AMBIENTAL,4,AMBD443
malla_ambiental,INGENIERÍA AMBIENTAL,4,AMBD453
malla_ambiental,INGENIERÍA AMBIENTAL,4,CSDH400
malla_ambiental,INGENIERÍA AMBIENTAL,5,ADMD511
malla_ambiental,INGENIERÍA AMBIENTAL,5,AMBD513
malla_ambiental,INGENIERÍA AMBIENTAL,5,AMBD522
malla_ambiental,INGENIERÍA AMBIENTAL,5,AMBD533
malla_ambiental,INGENIERÍA AMBIENTAL,5,AMBD542
malla_ambiental,INGENIERÍA AMBIENTAL,5,AMBD553
malla_ambiental,INGENIERÍA AMBIENTAL,5,AMBD571
malla_ambiental,INGENIERÍA AMBIENTAL,6,ADMD611
malla_ambiental,INGENIERÍA AMBIENTAL,6,AMBD613
malla_ambiental,INGENIERÍA AMBIENTAL,6,AMBD623
malla_ambiental,INGENIERÍA AMBIENTAL,6,AMBD633
malla_ambiental,INGENIERÍA AMBIENTAL,6,AMBD642
malla_ambiental,INGENIERÍA AMBIENTAL,6,AMBD653
malla_ambiental,INGENIERÍA AMBIENTAL,7,ADMD711
malla_ambiental,INGENIERÍA AMBIENTAL,7,AMBD713
malla_ambiental,INGENIERÍA AMBIENTAL,7,AMBD723
malla_ambiental,INGENIERÍA AMBIENTAL,7,AMBD733
malla_ambiental,INGENIERÍA AMBIENTAL,7,AMBD743
malla_ambiental,INGENIERÍA AMBIENTAL,7,AMBD752
malla_ambiental,INGENIERÍA AMBIENTAL,8,AMBD800
malla_ambiental,INGENIERÍA AMBIENTAL,8,AMBD813
malla_ambiental,INGENIERÍA AMBIENTAL,8,AMBD823
malla_ambiental,INGENIERÍA AMBIENTAL,8,AMBD833
malla_ambiental,INGENIERÍA AMBIENTAL,8,AMBD843
malla_ambiental,INGENIERÍA AMBIENTAL,8,TITD101
malla_ambiental,INGENIERÍA AMBIENTAL,9,AMBD900
malla_ambiental,INGENIERÍA AMBIENTAL,9,AMBD911
malla_ambiental,INGENIERÍA AMBIENTAL,9,PRLD105
malla_ambiental,INGENIERÍA AMBIENTAL,9,PSCD202
malla_ambiental,INGENIERÍA AMBIENTAL,9,TITD201
