archivo,carrera,nivel,codigo
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,1,CSHD111
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,1,FISD134
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,1,ICCD144
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,1,MATD113
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,1,MATD123
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,2,CSHD211
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,2,ICCD144
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,2,ICCD244
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,2,ICCD332
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,2,ISID223
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,2,ISID232
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,2,MATD213
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,3,ICCD323
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,3,ICCD343
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,3,ICCD353
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,3,ISID232
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,3,ISWD453
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,3,MATD223
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,4,CSHD300
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,4,ICCD422
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,4,ICCD442
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,4,IDSD413
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,4,IDSD422
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,4,ISWD553
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,4,PSCD202
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,5,ADMD511
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,5,CSHD400
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,5,ICCD244
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,5,ICCD353
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,5,ICCD523
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,5,IDSD513
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,5,IDSD522
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,5,IDSD533
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,5,ISID432
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,6,ICCD643
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,6,IDSD613
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,6,IDSD623
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,6,IDSD633
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,6,ISWD613
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,7,ADMD611
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,7,ADMD711
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,7,IDSD713
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,7,IDSD723
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,7,IDSD733
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,7,IDSD742
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,7,ISID642
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,8,ICCD842
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,8,IDSD813
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,8,IDSD823
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,8,IDSD833
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,8,IDSD843
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,8,TITD104
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,9,IDSD933
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,9,IDSD942
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,9,PRLD105
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,9,TITD201
