archivo,carrera,nivel,codigo
malla_civil,INGENIERÍA CIVIL,1,CSHD111
malla_civil,INGENIERÍA CIVIL,1,FISD134
malla_civil,INGENIERÍA CIVIL,1,ICOD111
malla_civil,INGENIERÍA CIVIL,1,MATD113
malla_civil,INGENIERÍA CIVIL,1,MATD123
malla_civil,INGENIERÍA CIVIL,1,QUID143
malla_civil,INGENIERÍA CIVIL,2,CSHD211
malla_civil,INGENIERÍA CIVIL,2,CVLD233
malla_civil,INGENIERÍA CIVIL,2,CVLD244
malla_civil,INGENIERÍA CIVIL,2,CVLD251
malla_civil,INGENIERÍA CIVIL,2,MATD213
malla_civil,INGENIERÍA CIVIL,2,MATD223
malla_civil,INGENIERÍA CIVIL,3,CSHD300
malla_civil,INGENIERÍA CIVIL,3,CVLD312
malla_civil,INGENIERÍA CIVIL,3,CVLD323
malla_civil,INGENIERÍA CIVIL,3,CVLD333
malla_civil,INGENIERÍA CIVIL,3,CVLD344
malla_civil,INGENIERÍA CIVIL,3,CVLD352
malla_civil,INGENIERÍA CIVIL,4,CSHD400
malla_civil,INGENIERÍA CIVIL,4,CVLD413
malla_civil,INGENIERÍA CIVIL,4,CVLD423
malla_civil,INGENIERÍA CIVIL,4,CVLD433
malla_civil,INGENIERÍA CIVIL,4,CVLD443
malla_civil,INGENIERÍA CIVIL,4,CVLD452
malla_civil,INGENIERÍA CIVIL,5,ADMD511
malla_civil,INGENIERÍA CIVIL,5,CVLD513
malla_civil,INGENIERÍA CIVIL,5,CVLD522
malla_civil,INGENIERÍA CIVIL,5,CVLD532
malla_civil,INGENIERÍA CIVIL,5,CVLD543
malla_civil,INGENIERÍA CIVIL,5,CVLD554
malla_civil,INGENIERÍA CIVIL,6,ADMD611
malla_civil,INGENIERÍA CIVIL,6,CVLD612
malla_civil,INGENIERÍA CIVIL,6,CVLD622
malla_civil,INGENIERÍA CIVIL,6,CVLD632
malla_civil,INGENIERÍA CIVIL,6,CVLD642
malla_civil,INGENIERÍA CIVIL,6,CVLD653
malla_civil,INGENIERÍA CIVIL,6,CVLD673
malla_civil,INGENIERÍA CIVIL,7,ADMD711
malla_civil,INGENIERÍA CIVIL,7,CVLD722
malla_civil,INGENIERÍA CIVIL,7,CVLD733
malla_civil,INGENIERÍA CIVIL,7,CVLD743
malla_civil,INGENIERÍA CIVIL,7,CVLD753
malla_civil,INGENIERÍA CIVIL,7,CVLD773
malla_civil,INGENIERÍA CIVIL,8,CVLD800
malla_civil,INGENIERÍA CIVIL,8,CVLD822
malla_civil,INGENIERÍA CIVIL,8,CVLD833
malla_civil,INGENIERÍA CIVIL,8,CVLD843
malla_civil,INGENIERÍA CIVIL,8,CVLD853
malla_civil,INGENIERÍA CIVIL,8,CVLD871
malla_civil,INGENIERÍA CIVIL,8,TITD101
malla_civil,INGENIERÍA CIVIL,9,CVLD900
malla_civil,INGENIERÍA CIVIL,9,CVLD971
malla_civil,INGENIERÍA CIVIL,9,PRLD105
malla_civil,INGENIERÍA CIVIL,9,PSCD202
malla_civil,INGENIERÍA CIVIL,9,TITD201
