archivo,carrera,nivel,codigo
malla_computacion,COMPUTACIÓN,1,CSHD111
malla_computacion,COMPUTACIÓN,1,FISD134
malla_computacion,COMPUTACIÓN,1,ICCD144
malla_computacion,COMPUTACIÓN,1,MATD113
malla_computacion,COMPUTACIÓN,1,MATD123
malla_computacion,COMPUTACIÓN,2,CSHD211
malla_computacion,COMPUTACIÓN,2,ICCD224
malla_computacion,COMPUTACIÓN,2,ICCD233
malla_computacion,COMPUTACIÓN,2,ICCD244
malla_computacion,COMPUTACIÓN,2,MATD213
malla_computacion,COMPUTACIÓN,3,CSHD400
malla_computacion,COMPUTACIÓN,3,ICCD323
malla_computacion,COMPUTACIÓN,3,ICCD332
malla_computacion,COMPUTACIÓN,3,ICCD343
malla_computacion,COMPUTACIÓN,3,ICCD353
malla_computacion,COMPUTACIÓN,3,MATD223
malla_computacion,COMPUTACIÓN,4,CSHD400
malla_computacion,COMPUTACIÓN,4,ICCD412
malla_computacion,COMPUTACIÓN,4,ICCD422
malla_computacion,COMPUTACIÓN,4,ICCD432
malla_computacion,COMPUTACIÓN,4,ICCD442
malla_computacion,COMPUTACIÓN,4,ICCD453
malla_computacion,COMPUTACIÓN,4,ICCD463
malla_computacion,COMPUTACIÓN,5,ADMD511
malla_computacion,COMPUTACIÓN,5,ICCD512
malla_computacion,COMPUTACIÓN,5,ICCD523
malla_computacion,COMPUTACIÓN,5,ICCD533
malla_computacion,COMPUTACIÓN,5,ICCD563
malla_computacion,COMPUTACIÓN,5,ISWD553
malla_computacion,COMPUTACIÓN,6,ICCD623
malla_computacion,COMPUTACIÓN,6,ICCD632
malla_computacion,COMPUTACIÓN,6,ICCD643
malla_computacion,COMPUTACIÓN,6,ICCD654
malla_computacion,COMPUTACIÓN,6,ISWD613
malla_computacion,COMPUTACIÓN,7,ICCD733
malla_computacion,COMPUTACIÓN,7,ICCD753
malla_computacion,COMPUTACIÓN,7,ISWD713
malla_computacion,COMPUTACIÓN,7,ISWD723
malla_computacion,COMPUTACIÓN,7,ISWD743
malla_computacion,COMPUTACIÓN,8,ADMD611
malla_computacion,COMPUTACIÓN,8,ADMD711
malla_computacion,COMPUTACIÓN,8,ICCD814
malla_computacion,COMPUTACIÓN,8,ICCD823
malla_computacion,COMPUTACIÓN,8,ICCD833
malla_computacion,COMPUTACIÓN,8,ICCD842
malla_computacion,COMPUTACIÓN,8,TITD104
malla_computacion,COMPUTACIÓN,9,ICCD943
malla_computacion,COMPUTACIÓN,9,PRLD105
malla_computacion,COMPUTACIÓN,9,PSCD202
malla_computacion,COMPUTACIÓN,9,TITD201
