archivo,carrera,nivel,codigo
malla_economia,ECONOMÍA,1,CSHD111
malla_economia,ECONOMÍA,1,ICOD151
malla_economia,ECONOMÍA,1,MATD115
malla_economia,ECONOMÍA,1,MATD124
malla_economia,ECONOMÍA,1,MATD133
malla_economia,ECONOMÍA,1,MATD141
malla_economia,ECONOMÍA,2,CSHD211
malla_economia,ECONOMÍA,2,ECOD232
malla_economia,ECONOMÍA,2,ECOD244
malla_economia,ECONOMÍA,2,MATD224
malla_economia,ECONOMÍA,2,MATD234
malla_economia,ECONOMÍA,3,ECOD324
malla_economia,ECONOMÍA,3,ECOD332
malla_economia,ECONOMÍA,3,ECOD345
malla_economia,ECONOMÍA,3,MATD314
malla_economia,ECONOMÍA,4,ECOD415
malla_economia,ECONOMÍA,4,ECOD422
malla_economia,ECONOMÍA,4,ECOD433
malla_economia,ECONOMÍA,4,ECOD445
malla_economia,ECONOMÍA,5,ADMD511
malla_economia,ECONOMÍA,5,ECOD515
malla_economia,ECONOMÍA,5,ECOD521
malla_economia,ECONOMÍA,5,ECOD535
malla_economia,ECONOMÍA,5,ECOD543
malla_economia,ECONOMÍA,6,ADMD611
malla_economia,ECONOMÍA,6,ECOD613
malla_economia,ECONOMÍA,6,ECOD623
malla_economia,ECONOMÍA,6,ECOD635
malla_economia,ECONOMÍA,6,ECOD643
malla_economia,ECONOMÍA,7,ADMD711
malla_economia,ECONOMÍA,7,ECOD713
malla_economia,ECONOMÍA,7,ECOD723
malla_economia,ECONOMÍA,7,ECOD735
malla_economia,ECONOMÍA,7,ECOD743
malla_economia,ECONOMÍA,8,CSHD300
malla_economia,ECONOMÍA,8,CSHD400
malla_economia,ECONOMÍA,8,ECOD814
malla_economia,ECONOMÍA,8,ECOD824
malla_economia,ECONOMÍA,8,ECOD834
malla_economia,ECONOMÍA,8,TITD101
malla_economia,ECONOMÍA,9,ECOD913
malla_economia,ECONOMÍA,9,PRLD105
malla_economia,ECONOMÍA,9,PSCD202
malla_economia,ECONOMÍA,9,TITD201
