archivo,carrera,nivel,codigo
malla_electricidad,ELECTRICIDAD,1,CSHD111
malla_electricidad,ELECTRICIDAD,1,FISD134
malla_electricidad,ELECTRICIDAD,1,ICOD111
malla_electricidad,ELECTRICIDAD,1,MATD113
malla_electricidad,ELECTRICIDAD,1,MATD123
malla_electricidad,ELECTRICIDAD,1,QUID143
malla_electricidad,ELECTRICIDAD,2,CSHD211
malla_electricidad,ELECTRICIDAD,2,IEED232
malla_electricidad,ELECTRICIDAD,2,IEED242
malla_electricidad,ELECTRICIDAD,2,IEED252
malla_electricidad,ELECTRICIDAD,2,IEED272
malla_electricidad,ELECTRICIDAD,2,MATD213
malla_electricidad,ELECTRICIDAD,2,MATD223
malla_electricidad,ELECTRICIDAD,3,CSHD300
malla_electricidad,ELECTRICIDAD,3,IEED312
malla_electricidad,ELECTRICIDAD,3,IEED323
malla_electricidad,ELECTRICIDAD,3,IEED333
malla_electricidad,ELECTRICIDAD,3,IEED342
malla_electricidad,ELECTRICIDAD,3,IEED353
malla_electricidad,ELECTRICIDAD,3,IEED371
malla_electricidad,ELECTRICIDAD,4,CSHD400
malla_electricidad,ELECTRICIDAD,4,IEAD423
malla_electricidad,ELECTRICIDAD,4,IEED413
malla_electricidad,ELECTRICIDAD,4,IEED433
malla_electricidad,ELECTRICIDAD,4,IEED452
malla_electricidad,ELECTRICIDAD,4,IELD443
malla_electricidad,ELECTRICIDAD,5,ADMD511
malla_electricidad,ELECTRICIDAD,5,IEAD533
malla_electricidad,ELECTRICIDAD,5,IEAD553
malla_electricidad,ELECTRICIDAD,5,IELD512
malla_electricidad,ELECTRICIDAD,5,IELD523
malla_electricidad,ELECTRICIDAD,5,IELD543
malla_electricidad,ELECTRICIDAD,6,ADMD611
malla_electricidad,ELECTRICIDAD,6,ADMD711
malla_electricidad,ELECTRICIDAD,6,IELD613
malla_electricidad,ELECTRICIDAD,6,IELD622
malla_electricidad,ELECTRICIDAD,6,IELD633
malla_electricidad,ELECTRICIDAD,6,IELD643
malla_electricidad,ELECTRICIDAD,6,IELD652
malla_electricidad,ELECTRICIDAD,7,IELD713
malla_electricidad,ELECTRICIDAD,7,IELD722
malla_electricidad,ELECTRICIDAD,7,IELD732
malla_electricidad,ELECTRICIDAD,7,IELD742
malla_electricidad,ELECTRICIDAD,7,IELD753
malla_electricidad,ELECTRICIDAD,7,IELD761
malla_electricidad,ELECTRICIDAD,7,IELD772
malla_electricidad,ELECTRICIDAD,8,IEAD642
malla_electricidad,ELECTRICIDAD,8,IELD800
malla_electricidad,ELECTRICIDAD,8,IELD813
malla_electricidad,ELECTRICIDAD,8,IELD832
malla_electricidad,ELECTRICIDAD,8,IELD842
malla_electricidad,ELECTRICIDAD,8,IELD852
malla_electricidad,ELECTRICIDAD,8,TITD101
malla_electricidad,ELECTRICIDAD,9,IELD900
malla_electricidad,ELECTRICIDAD,9,IELD941
malla_electricidad,ELECTRICIDAD,9,PRLD105
malla_electricidad,ELECTRICIDAD,9,PSCD202
malla_electricidad,ELECTRICIDAD,9,TITD201
