archivo,carrera,nivel,codigo
malla_fisica,FÍSICA,1,CSHD111
malla_fisica,FÍSICA,1,ICOD151
malla_fisica,FÍSICA,1,MATD115
malla_fisica,FÍSICA,1,MATD124
malla_fisica,FÍSICA,1,MATD133
malla_fisica,FÍSICA,1,MATD141
malla_fisica,FÍSICA,2,CSHD211
malla_fisica,FÍSICA,2,FISD212
malla_fisica,FÍSICA,2,FISD244
malla_fisica,FÍSICA,2,MATD224
malla_fisica,FÍSICA,2,MATD234
malla_fisica,FÍSICA,3,FISD333
malla_fisica,FÍSICA,3,FISD344
malla_fisica,FÍSICA,3,MATD314
malla_fisica,FÍSICA,3,MATD324
malla_fisica,FÍSICA,4,FISD415
malla_fisica,FÍSICA,4,FISD425
malla_fisica,FÍSICA,4,FISD435
malla_fisica,FÍSICA,5,ADMD511
malla_fisica,FÍSICA,5,FISD514
malla_fisica,FÍSICA,5,FISD523
malla_fisica,FÍSICA,5,FISD533
malla_fisica,FÍSICA,5,FISD544
malla_fisica,FÍSICA,6,ADMD611
malla_fisica,FÍSICA,6,FISD613
malla_fisica,FÍSICA,6,FISD624
malla_fisica,FÍSICA,6,FISD634
malla_fisica,FÍSICA,6,FISD643
malla_fisica,FÍSICA,7,ADMD711
malla_fisica,FÍSICA,7,CSHD300
malla_fisica,FÍSICA,7,FISD712
malla_fisica,FÍSICA,7,FISD724
malla_fisica,FÍSICA,7,FISD733
malla_fisica,FÍSICA,7,FISD744
malla_fisica,FÍSICA,8,CSHD400
malla_fisica,FÍSICA,8,FISD800
malla_fisica,FÍSICA,8,FISD824
malla_fisica,FÍSICA,8,FISD832
malla_fisica,FÍSICA,8,FISD844
malla_fisica,FÍSICA,8,TITD101
malla_fisica,FÍSICA,9,FISD212
malla_fisica,FÍSICA,9,FISD333
malla_fisica,FÍSICA,9,FISD415
malla_fisica,FÍSICA,9,FISD425
malla_fisica,FÍSICA,9,FISD435
malla_fisica,FÍSICA,9,FISD514
malla_fisica,FÍSICA,9,FISD533
malla_fisica,FÍSICA,9,FISD544
malla_fisica,FÍSICA,9,FISD624
malla_fisica,FÍSICA,9,FISD643
malla_fisica,FÍSICA,9,FISD724
malla_fisica,FÍSICA,9,FISD800
malla_fisica,FÍSICA,9,FISD832
malla_fisica,FÍSICA,9,FISD900
malla_fisica,FÍSICA,9,MATD314
malla_fisica,FÍSICA,9,PRLD105
malla_fisica,FÍSICA,9,PSCD202
malla_fisica,FÍSICA,9,TITD201
