archivo,carrera,nivel,codigo
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,1,CSHD111
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,1,FISD134
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,1,ICOD111
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,1,MATD113
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,1,MATD123
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,1,QUID143
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,2,IAQD222
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,2,IAQD242
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,2,IAQD253
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,2,IAQD262
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,2,MATD213
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,2,MATD223
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,3,IAQD312
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,3,IAQD323
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,3,IAQD333
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,3,IAQD343
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,3,IQMD354
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,4,CSHD211
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,4,IAQD423
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,4,IAQD432
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,4,IAQD462
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,4,IQMD412
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,4,IQMD443
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,4,IQMD452
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,5,CSHD300
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,5,IAQD511
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,5,IAQD562
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,5,IQMD523
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,5,IQMD533
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,5,IQMD543
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,5,IQMD552
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,6,IQMD613
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,6,IQMD623
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,6,IQMD633
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,6,IQMD643
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,6,IQMD653
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,7,ADMD511
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,7,CSHD400
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,7,IAQD722
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,7,IQMD713
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,7,IQMD733
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,7,IQMD743
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,7,IQMD752
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,8,ADMD611
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,8,ADMD711
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,8,IQMD800
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,8,IQMD814
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,8,IQMD822
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,8,IQMD832
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,8,TITD101
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,9,IQMD900
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,9,PRLD105
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,9,PSCD202
malla_quimica,INGENIERÍA QUÍMICA Organización del Aprendizaje,9,TITD201
