archivo,carrera,nivel,codigo
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,1,CSHD111
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,1,FISD134
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,1,ICCD144
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,1,MATD113
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,1,MATD123
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,2,CSHD211
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,2,ICCD244
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,2,ICCD332
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,2,ISID223
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,2,ISID232
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,2,MATD213
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,3,ICCD323
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,3,ICCD343
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,3,ICCD353
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,3,ISWD453
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,3,MATD223
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,4,CSHD300
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,4,CSHD400
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,4,ICCD442
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,4,ISID413
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,4,ISID423
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,4,ISID432
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,4,ISWD553
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,5,ADMD511
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,5,ICCD533
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,5,ISID533
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,5,ISID553
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,5,ISWD723
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,5,ISWD732
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,6,ADMD611
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,6,ICCD442
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,6,ICCD753
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,6,ISID623
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,6,ISID633
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,6,ISID642
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,6,ISID653
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,7,ADMD711
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,7,ICCD353
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,7,ICCD523
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,7,ICCD733
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,7,ISID723
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,7,ISID743
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,7,ISID752
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,8,ICCD823
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,8,ICCD833
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,8,ISID843
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,8,ISID852
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,8,ISWD743
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,8,TITD104
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,9,ISID943
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,9,PRLD105
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,9,PSCD202
malla_sistemas_informacion,SISTEMAS DE INFORMACIÓN,9,TITD201
