archivo,carrera,nivel,codigo
malla_software,SOFTWARE,1,CSHD111
malla_software,SOFTWARE,1,FISD134
malla_software,SOFTWARE,1,ICCD144
malla_software,SOFTWARE,1,MATD113
malla_software,SOFTWARE,1,MATD123
malla_software,SOFTWARE,2,CSHD211
malla_software,SOFTWARE,2,ICCD224
malla_software,SOFTWARE,2,ICCD233
malla_software,SOFTWARE,2,ICCD244
malla_software,SOFTWARE,2,MATD213
malla_software,SOFTWARE,3,CSHD300
malla_software,SOFTWARE,3,ICCD323
malla_software,SOFTWARE,3,ICCD332
malla_software,SOFTWARE,3,ICCD343
malla_software,SOFTWARE,3,ICCD353
malla_software,SOFTWARE,3,MATD223
malla_software,SOFTWARE,4,CSHD400
malla_software,SOFTWARE,4,ICCD422
malla_software,SOFTWARE,4,ICCD442
malla_software,SOFTWARE,4,ISWD414
malla_software,SOFTWARE,4,ISWD433
malla_software,SOFTWARE,4,ISWD453
malla_software,SOFTWARE,5,ADMD511
malla_software,SOFTWARE,5,ICCD533
malla_software,SOFTWARE,5,ISWD523
malla_software,SOFTWARE,5,ISWD543
malla_software,SOFTWARE,5,ISWD553
malla_software,SOFTWARE,5,PSCD202
malla_software,SOFTWARE,6,ADMD611
malla_software,SOFTWARE,6,ADMD711
malla_software,SOFTWARE,6,ICCD643
malla_software,SOFTWARE,6,ISWD414
malla_software,SOFTWARE,6,ISWD613
malla_software,SOFTWARE,6,ISWD622
malla_software,SOFTWARE,6,ISWD633
malla_software,SOFTWARE,6,ISWD652
malla_software,SOFTWARE,7,ISWD713
malla_software,SOFTWARE,7,ISWD723
malla_software,SOFTWARE,7,ISWD732
malla_software,SOFTWARE,7,ISWD743
malla_software,SOFTWARE,7,ISWD752
malla_software,SOFTWARE,7,ISWD762
malla_software,SOFTWARE,8,ICCD442
malla_software,SOFTWARE,8,ICCD842
malla_software,SOFTWARE,8,ISWD633
malla_software,SOFTWARE,8,ISWD813
malla_software,SOFTWARE,8,ISWD823
malla_software,SOFTWARE,8,ISWD833
malla_software,SOFTWARE,8,ISWD853
malla_software,SOFTWARE,8,TITD104
malla_software,SOFTWARE,9,ISWD913
malla_software,SOFTWARE,9,ISWD922
malla_software,SOFTWARE,9,PRLD105
malla_software,SOFTWARE,9,TITD201
