archivo,carrera,nivel,codigo
malla_tecnologias_informacion,TECNOLOGÍAS DE LA INFORMACIÓN Organización del Aprendizaje,1,CSHD111
malla_tecnologias_informacion,TECNOLOGÍAS DE LA INFORMACIÓN Organización del Aprendizaje,1,FISD134
malla_tecnologias_informacion,TECNOLOGÍAS DE LA INFORMACIÓN Organización del Aprendizaje,1,ICOD111
malla_tecnologias_informacion,TECNOLOGÍAS DE LA INFORMACIÓN Organización del Aprendizaje,1,MATD113
malla_tecnologias_informacion,TECNOLOGÍAS DE LA INFORMACIÓN Organización del Aprendizaje,1,MATD123
malla_tecnologias_informacion,TECNOLOGÍAS DE LA INFORMACIÓN Organización del Aprendizaje,1,QUID143
malla_tecnologias_informacion,TECNOLOGÍAS DE LA INFORMACIÓN Organización del Aprendizaje,2,CSHD211
malla_tecnologias_informacion,TECNOLOGÍAS DE LA INFORMACIÓN Organización del Aprendizaje,2,IEED232
malla_tecnologias_informacion,TECNOLOGÍAS DE LA INFORMACIÓN Organización del Aprendizaje,2,IEED242
malla_tecnologias_informacion,TECNOLOGÍAS DE LA INFORMACIÓN Organización del Aprendizaje,2,IEED252
malla_tecnologias_informacion,TECNOLOGÍAS DE LA INFORMACIÓN Organización del Aprendizaje,2,IEED272
malla_tecnologias_informacion,TECNOLOGÍAS DE LA INFORMACIÓN Organización del Aprendizaje,2,IEED323
malla_tecnologias_informacion,TECNOLOGÍAS DE LA INFORMACIÓN Organización del Aprendizaje,2,IEED371
malla_tecnologias_informacion,TECNOLOGÍAS DE LA INFORMACIÓN Organización del Aprendizaje,2,MATD213
malla_tecnologias_informacion,TECNOLOGÍAS DE LA INFORMACIÓN Organización del Aprendizaje,2,MATD223
malla_tecnologias_informacion,TECNOLOGÍAS DE LA INFORMACIÓN Organización del Aprendizaje,3,CSHD300
malla_tecnologias_informacion,TECNOLOGÍAS DE LA INFORMACIÓN Organización del Aprendizaje,3,IEED252
malla_tecnologias_informacion,TECNOLOGÍAS DE LA INFORMACIÓN Organización del Aprendizaje,3,IEED312
malla_tecnologias_informacion,TECNOLOGÍAS DE LA INFORMACIÓN Organización del Aprendizaje,3,IEED323
malla_tecnologias_informacion,TECNOLOGÍAS DE LA INFORMACIÓN Organización del Aprendizaje,3,IEED333
malla_tecnologias_informacion,TECNOLOGÍAS DE LA INFORMACIÓN Organización del Aprendizaje,3,IEED342
malla_tecnologias_informacion,TECNOLOGÍAS DE LA INFORMACIÓN Organización del Aprendizaje,3,IEED353
malla_tecnologias_informacion,TECNOLOGÍAS DE LA INFORMACIÓN Organización del Aprendizaje,3,IEED371
