row_index,cargo
0,"PROFESOR AUXILIAR A TIEMPO COMPLETO (NIVEL 1, GRADO 1) - NOMBRAMIENTO"
1,PROFESOR PRINCIPAL DE ESCALAFON PREVIO A TIEMPO COMPLETO - NOMBRAMIENTO
2,"PROFESOR AGREGADO A TIEMPO COMPLETO (NIVEL 3, GRADO 5) - NOMBRAMIENTO"
3,"PROFESOR AGREGADO A TIEMPO COMPLETO (NIVEL 3, GRADO 5) - NOMBRAMIENTO"
4,"PROFESOR AGREGADO A TIEMPO COMPLETO (NIVEL 2, GRADO 4) - NOMBRAMIENTO"
5,"PROFESOR AUXILIAR A TIEMPO COMPLETO (NIVEL 2, GRADO 2) - NOMBRAMIENTO"
6,"PROFESOR AUXILIAR A TIEMPO COMPLETO (NIVEL 1, GRADO 1) - NOMBRAMIENTO"
7,PROFESOR PRINCIPAL DE ESCALAFON PREVIO A TIEMPO COMPLETO - NOMBRAMIENTO
8,PROFESOR PRINCIPAL DE ESCALAFON PREVIO A TIEMPO COMPLETO - NOMBRAMIENTO
9,PROFESOR PRINCIPAL DE ESCALAFON PREVIO A TIEMPO COMPLETO - NOMBRAMIENTO
10,"PROFESOR PRINCIPAL A TIEMPO COMPLETO (NIVEL 1, GRADO 6) - NOMBRAMIENTO"
11,"PROFESOR AGREGADO A TIEMPO COMPLETO (NIVEL 3, GRADO 5) - NOMBRAMIENTO"
12,"PROFESOR AGREGADO A TIEMPO COMPLETO (NIVEL 3, GRADO 5) - NOMBRAMIENTO"
13,"PROFESOR AGREGADO A TIEMPO COMPLETO (NIVEL 3, GRADO 5) - NOMBRAMIENTO"
14,"PROFESOR AUXILIAR A TIEMPO COMPLETO (NIVEL 1, GRADO 1) - NOMBRAMIENTO"
15,"PROFESOR AGREGADO A TIEMPO COMPLETO (NIVEL 3, GRADO 5) - NOMBRAMIENTO"
16,"PROFESOR AGREGADO A TIEMPO COMPLETO (NIVEL 3, GRADO 5) - NOMBRAMIENTO"
17,"PROFESOR AGREGADO A TIEMPO COMPLETO (NIVEL 3, GRADO 5) - NOMBRAMIENTO"
18,"PROFESOR AGREGADO A TIEMPO COMPLETO (NIVEL 2, GRADO 4) - NOMBRAMIENTO"
19,"PROFESOR AGREGADO A TIEMPO COMPLETO (NIVEL 3, GRADO 5) - NOMBRAMIENTO"
20,"PROFESOR AGREGADO A TIEMPO COMPLETO (NIVEL 1, GRADO 3) - NOMBRAMIENTO"
21,"PROFESOR AUXILIAR A TIEMPO COMPLETO (NIVEL 1, GRADO 1) - NOMBRAMIENTO"
22,"PROFESOR AGREGADO A TIEMPO COMPLETO (NIVEL 1, GRADO 3) - NOMBRAMIENTO"
23,"PROFESOR AUXILIAR A TIEMPO COMPLETO (NIVEL 1, GRADO 1) - NOMBRAMIENTO"
24,"PROFESOR AUXILIAR A TIEMPO COMPLETO (NIVEL 1, GRADO 1) - NOMBRAMIENTO"
25,PROFESOR PRINCIPAL DE ESCALAFON PREVIO A TIEMPO PARCIAL - NOMBRAMIENTO
26,PROFESOR OCASIONAL A TIEMPO COMPLETO - CONTRATO
27,PROFESOR OCASIONAL A TIEMPO COMPLETO - CONTRATO
28,PROFESOR OCASIONAL A TIEMPO COMPLETO - CONTRATO
29,PROFESOR OCASIONAL A TIEMPO COMPLETO - CONTRATO DE SERVICIOS OCASIONALES
30,PROFESOR OCASIONAL A TIEMPO COMPLETO - CONTRATO DE SERVICIOS OCASIONALES
31,PROFESOR OCASIONAL A TIEMPO PARCIAL - CONTRATO
32,PROFESOR OCASIONAL A TIEMPO PARCIAL - CONTRATO
33,PROFESOR OCASIONAL A TIEMPO PARCIAL - CONTRATO
34,PROFESOR OCASIONAL A TIEMPO PARCIAL - CONTRATO
35,PROFESOR OCASIONAL A TIEMPO PARCIAL - CONTRATO
36,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
37,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
38,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
39,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
40,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
41,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
42,PROFESOR HONORARIO A TIEMPO PARCIAL - CONTRATO CIVIL DE PRESTACION DE SERVICIOS PROFESIONALES
43,TECNICO DE INVESTIGACION A TIEMPO COMPLETO - ESTUDIANTE MAESTRIA - CONTRATO
44,"PROFESOR AGREGADO A TIEMPO COMPLETO (NIVEL 1, GRADO 3) - NOMBRAMIENTO"
45,PROFESOR PRINCIPAL DE ESCALAFON PREVIO A TIEMPO COMPLETO - NOMBRAMIENTO
46,PROFESOR PRINCIPAL DE ESCALAFON PREVIO A TIEMPO COMPLETO - NOMBRAMIENTO
47,"PROFESOR PRINCIPAL A TIEMPO COMPLETO (NIVEL 1, GRADO 6) - NOMBRAMIENTO"
48,PROFESOR PRINCIPAL DE ESCALAFON PREVIO A TIEMPO COMPLETO - NOMBRAMIENTO
49,PROFESOR PRINCIPAL DE ESCALAFON PREVIO A TIEMPO COMPLETO - NOMBRAMIENTO
50,PROFESOR PRINCIPAL DE ESCALAFON PREVIO A TIEMPO COMPLETO - NOMBRAMIENTO
51,PROFESOR PRINCIPAL DE ESCALAFON PREVIO A TIEMPO COMPLETO - NOMBRAMIENTO
52,"PROFESOR PRINCIPAL A TIEMPO COMPLETO (NIVEL 1, GRADO 6) - NOMBRAMIENTO"
53,PROFESOR PRINCIPAL DE ESCALAFON PREVIO A TIEMPO COMPLETO - NOMBRAMIENTO
54,"PROFESOR PRINCIPAL A TIEMPO COMPLETO (NIVEL 1, GRADO 6) - NOMBRAMIENTO"
55,"PROFESOR AGREGADO A TIEMPO COMPLETO (NIVEL 2, GRADO 4) - NOMBRAMIENTO"
56,"PROFESOR AGREGADO A TIEMPO COMPLETO (NIVEL 2, GRADO 4) - NOMBRAMIENTO"
57,"PROFESOR AUXILIAR A TIEMPO COMPLETO (NIVEL 2, GRADO 2) - NOMBRAMIENTO"
58,"PROFESOR AGREGADO A TIEMPO COMPLETO (NIVEL 1, GRADO 3) - NOMBRAMIENTO"
59,"PROFESOR AGREGADO A TIEMPO COMPLETO (NIVEL 3, GRADO 5) - NOMBRAMIENTO"
60,"PROFESOR AGREGADO A TIEMPO COMPLETO (NIVEL 3, GRADO 5) - NOMBRAMIENTO"
61,"PROFESOR AGREGADO A TIEMPO COMPLETO (NIVEL 2, GRADO 4) - NOMBRAMIENTO"
62,"PROFESOR AGREGADO A TIEMPO COMPLETO (NIVEL 2, GRADO 4) - NOMBRAMIENTO"
63,"PROFESOR AUXILIAR A TIEMPO COMPLETO (NIVEL 1, GRADO 1) - NOMBRAMIENTO"
64,"PROFESOR AGREGADO A TIEMPO COMPLETO (NIVEL 2, GRADO 4) - NOMBRAMIENTO"
65,"PROFESOR AGREGADO A TIEMPO COMPLETO (NIVEL 1, GRADO 3) - NOMBRAMIENTO"
66,"PROFESOR AGREGADO A TIEMPO COMPLETO (NIVEL 3, GRADO 5) - NOMBRAMIENTO"
67,"PROFESOR AGREGADO A TIEMPO COMPLETO (NIVEL 3, GRADO 5) - NOMBRAMIENTO"
68,PROFESOR PRINCIPAL DE ESCALAFON PREVIO A TIEMPO COMPLETO - NOMBRAMIENTO
69,PROFESOR PRINCIPAL DE ESCALAFON PREVIO A TIEMPO COMPLETO - NOMBRAMIENTO
70,PROFESOR PRINCIPAL DE ESCALAFON PREVIO A TIEMPO COMPLETO - NOMBRAMIENTO
71,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
72,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
73,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
74,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
75,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
76,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
77,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO DE SERVICIOS OCASIONALES
78,PROFESOR OCASIONAL A TIEMPO COMPLETO - CONTRATO
79,PROFESOR OCASIONAL A TIEMPO COMPLETO - CONTRATO
80,PROFESOR OCASIONAL A TIEMPO COMPLETO - CONTRATO DE SERVICIOS OCASIONALES
81,PROFESOR OCASIONAL A TIEMPO COMPLETO - CONTRATO DE SERVICIOS OCASIONALES
82,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
83,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
84,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
85,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
86,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
87,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
88,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
89,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
90,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
91,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
92,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
93,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
94,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
95,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
96,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
97,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
98,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
99,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
100,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
101,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
102,TECNICO DOCENTE POLITECNICO A TIEMPO COMPLETO - CONTRATO
