row_index,departamento
0,DEPARTAMENTO DE INGENIERIA MECANICA
1,DEPARTAMENTO DE INGENIERIA MECANICA
2,DEPARTAMENTO DE INGENIERIA MECANICA
3,DEPARTAMENTO DE INGENIERIA MECANICA
4,DEPARTAMENTO DE INGENIERIA MECANICA
5,DEPARTAMENTO DE INGENIERIA MECANICA
6,DEPARTAMENTO DE INGENIERIA MECANICA
7,DEPARTAMENTO DE INGENIERIA MECANICA
8,DEPARTAMENTO DE INGENIERIA MECANICA
9,DEPARTAMENTO DE INGENIERIA MECANICA
10,DEPARTAMENTO DE INGENIERIA MECANICA
11,DEPARTAMENTO DE INGENIERIA MECANICA
12,DEPARTAMENTO DE INGENIERIA MECANICA
13,DEPARTAMENTO DE INGENIERIA MECANICA
14,DEPARTAMENTO DE INGENIERIA MECANICA
15,DEPARTAMENTO DE INGENIERIA MECANICA
16,DEPARTAMENTO DE INGENIERIA MECANICA
17,DEPARTAMENTO DE INGENIERIA MECANICA
18,DEPARTAMENTO DE INGENIERIA MECANICA
19,DEPARTAMENTO DE INGENIERIA MECANICA
20,DEPARTAMENTO DE INGENIERIA MECANICA
21,DEPARTAMENTO DE INGENIERIA MECANICA
22,DEPARTAMENTO DE INGENIERIA MECANICA
23,DEPARTAMENTO DE INGENIERIA MECANICA
24,DEPARTAMENTO DE INGENIERIA MECANICA
25,DEPARTAMENTO DE INGENIERIA MECANICA
26,DEPARTAMENTO DE INGENIERIA MECANICA
27,DEPARTAMENTO DE INGENIERIA MECANICA
28,DEPARTAMENTO DE INGENIERIA MECANICA
29,DEPARTAMENTO DE INGENIERIA MECANICA
30,DEPARTAMENTO DE INGENIERIA MECANICA
31,DEPARTAMENTO DE INGENIERIA MECANICA
32,DEPARTAMENTO DE INGENIERIA MECANICA
33,DEPARTAMENTO DE INGENIERIA MECANICA
34,DEPARTAMENTO DE INGENIERIA MECANICA
35,DEPARTAMENTO DE INGENIERIA MECANICA
36,DEPARTAMENTO DE INGENIERIA MECANICA
37,DEPARTAMENTO DE INGENIERIA MECANICA
38,DEPARTAMENTO DE INGENIERIA MECANICA
39,DEPARTAMENTO DE INGENIERIA MECANICA
40,DEPARTAMENTO DE INGENIERIA MECANICA
41,DEPARTAMENTO DE INGENIERIA MECANICA
42,DEPARTAMENTO DE INGENIERIA MECANICA
43,DEPARTAMENTO DE INGENIERIA MECANICA
44,"DEPARTAMENTO DE ELECTRONICA, TELECOMUNICACIONES Y REDES DE INFORMACION"
45,"DEPARTAMENTO DE ELECTRONICA, TELECOMUNICACIONES Y REDES DE INFORMACION"
46,"DEPARTAMENTO DE ELECTRONICA, TELECOMUNICACIONES Y REDES DE INFORMACION"
47,"DEPARTAMENTO DE ELECTRONICA, TELECOMUNICACIONES Y REDES DE INFORMACION"
48,"DEPARTAMENTO DE ELECTRONICA, TELECOMUNICACIONES Y REDES DE INFORMACION"
49,"DEPARTAMENTO DE ELECTRONICA, TELECOMUNICACIONES Y REDES DE INFORMACION"
50,"DEPARTAMENTO DE ELECTRONICA, TELECOMUNICACIONES Y REDES DE INFORMACION"
51,"DEPARTAMENTO DE ELECTRONICA, TELECOMUNICACIONES Y REDES DE INFORMACION"
52,"DEPARTAMENTO DE ELECTRONICA, TELECOMUNICACIONES Y REDES DE INFORMACION"
