row_index,direccion_orientacion_y_acompanamiento_a_traves_de_tutorias_presenciales_o_virtuales_individuales_o_grupales_seguimiento_academico_seguimiento_y_evaluacion_de_practicas_o_pasantias_preprofesionales
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,36
45,72
46,
47,36
48,54
49,54
50,72
51,36
52,54
53,54
54,36
55,54
56,36
57,36
58,36
59,54
60,36
61,54
62,36
63,54
64,54
65,30
66,36
67,36
68,54
69,72
70,18
71,
72,
73,
74,
75,
76,
77,
78,90
79,72
80,90
81,90
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,46
146,86
147,42
148,88
149,70
150,70
151,
152,70
153,82
154,90
155,38
156,74
157,82
158,85
159,56
160,59
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,40
179,52
180,
181,
