row_index,diseno_y_elaboracion_de_material_didactico_guias_docentes_o_syllabus
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,36
45,72
46,
47,54
48,54
49,54
50,72
51,36
52,54
53,54
54,54
55,54
56,36
57,54
58,36
59,72
60,54
61,54
62,54
63,54
64,54
65,30
66,54
67,36
68,72
69,72
70,18
71,90
72,108
73,90
74,108
75,90
76,90
77,108
78,90
79,90
80,90
81,90
82,36
83,36
84,36
85,36
86,36
87,36
88,36
89,36
90,36
91,36
92,36
93,36
94,36
95,36
96,36
97,36
98,36
99,36
100,36
101,36
102,36
103,36
104,36
105,36
106,36
107,36
108,36
109,36
110,36
111,0
112,36
113,36
114,36
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,36
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
151,
152,
153,
154,
155,
156,
157,
158,
159,
160,
161,
162,
163,
164,60
165,52
166,80
167,60
168,50
169,36
170,100
171,100
172,58
173,52
174,52
175,52
176,
177,
178,40
179,86
180,
181,
