row_index,periodo_academico
0,2025-B
1,2025-B
2,2025-B
3,2025-B
4,2025-B
5,2025-B
6,2025-B
7,2025-B
8,2025-B
9,2025-B
10,2025-B
11,2025-B
12,2025-B
13,2025-B
14,2025-B
15,2025-B
16,2025-B
17,2025-B
18,2025-B
19,2025-B
20,2025-B
21,2025-B
22,2025-B
23,2025-B
24,2025-B
25,2025-B
26,2025-B
27,2025-B
28,2025-B
29,2025-B
30,2025-B
31,2025-B
32,2025-B
33,2025-B
34,2025-B
35,2025-B
36,2025-B
37,2025-B
38,2025-B
39,2025-B
40,2025-B
41,2025-B
42,2025-B
43,2025-B
44,2025-B
45,2025-B
46,2025-B
47,2025-B
48,2025-B
49,2025-B
50,2025-B
51,2025-B
52,2025-B
53,2025-B
54,2025-B
55,2025-B
56,2025-B
57,2025-B
58,2025-B
59,2025-B
60,2025-B
61,2025-B
62,2025-B
63,2025-B
64,2025-B
65,2025-B
66,2025-B
67,2025-B
68,2025-B
69,2025-B
70,2025-B
71,2025-B
72,2025-B
73,2025-B
74,2025-B
75,2025-B
76,2025-B
77,2025-B
78,2025-B
79,2025-B
80,2025-B
81,2025-B
82,2025-B
83,2025-B
84,2025-B
85,2025-B
86,2025-B
87,2025-B
88,2025-B
89,2025-B
90,2025-B
91,2025-B
92,2025-B
93,2025-B
94,2025-B
95,2025-B
96,2025-B
97,2025-B
98,2025-B
99,2025-B
100,2025-B
101,2025-B
102,2025-B
103,2025-B
104,2025-B
105,2025-B
106,2025-B
107,2025-B
108,2025-B
109,2025-B
110,2025-B
111,2025-B
112,2025-B
113,2025-B
114,2025-B
115,2025-B
116,2025-B
117,2025-B
118,2025-B
119,2025-B
120,2025-B
121,2025-B
122,2025-B
123,2025-B
124,2025-B
125,2025-B
126,2025-B
127,2025-B
128,2025-B
129,2025-B
130,2025-B
131,2025-B
132,2025-B
133,2025-B
134,2025-B
135,2025-B
136,2025-B
137,2025-B
138,2025-B
139,2025-B
140,2025-B
141,2025-B
142,2025-B
143,2025-B
144,2025-B
145,2025-B
146,2025-B
147,2025-B
148,2025-B
149,2025-B
150,2025-B
151,2025-B
152,2025-B
153,2025-B
154,2025-B
155,2025-B
156,2025-B
157,2025-B
158,2025-B
159,2025-B
160,2025-B
161,2025-B
162,2025-B
163,2025-B
164,2025-B
165,2025-B
166,2025-B
167,2025-B
168,2025-B
169,2025-B
170,2025-B
171,2025-B
172,2025-B
173,2025-B
174,2025-B
175,2025-B
176,2025-B
177,2025-B
178,2025-B
179,2025-B
180,
181,"Filtros aplicados: 
Período Académico es 2025-B
Revisor es VICERRECTORADO DE DOCENCIA
Período Académico no contiene 'X'
Estado no contiene 'SIN OBJETO'"
