row_index,preparacion_elaboracion_aplicacion_y_calificacion_de_examenes_trabajos_y_practicas_consultas_academicas
0,171
1,74
2,81
3,99
4,116
5,45
6,145
7,135
8,100
9,135
10,108
11,144
12,
13,69
14,108
15,71
16,63
17,50
18,134
19,50
20,52
21,141
22,108
23,153
24,99
25,120
26,144
27,108
28,162
29,167
30,179
31,36
32,34
33,30
34,34
35,36
36,125
37,108
38,119
39,124
40,131
41,184
42,81
43,
44,36
45,72
46,
47,54
48,54
49,54
50,72
51,36
52,54
53,54
54,54
55,54
56,36
57,54
58,36
59,72
60,54
61,54
62,54
63,72
64,54
65,48
66,54
67,54
68,90
69,72
70,36
71,90
72,90
73,90
74,90
75,90
76,90
77,108
78,90
79,90
80,90
81,90
82,206
83,224
84,224
85,224
86,224
87,224
88,224
89,198
90,224
91,224
92,224
93,224
94,198
95,224
96,224
97,224
98,198
99,224
100,224
101,198
102,206
103,206
104,224
105,206
106,206
107,198
108,200
109,224
110,198
111,206
112,224
113,224
114,172
115,36
116,10
117,70
118,20
119,10
120,90
121,52
122,44
123,4
124,62
125,32
126,50
127,92
128,108
129,74
130,30
131,46
132,96
133,0
134,60
135,60
136,100
137,63
138,72
139,60
140,189
141,146
142,60
143,63
144,94
145,85
146,110
147,60
148,100
149,100
150,100
151,
152,100
153,130
154,135
155,80
156,125
157,130
158,114
159,128
160,129
161,
162,80
163,56
164,100
165,100
166,90
167,108
168,60
169,50
170,120
171,140
172,60
173,53
174,52
175,53
176,
177,
178,70
179,104
180,
181,
