row_index,preparacion_y_actualizacion_de_clases_seminarios_talleres_entre_otros
0,171
1,160
2,81
3,99
4,100
5,225
6,160
7,135
8,80
9,135
10,108
11,144
12,78
13,69
14,108
15,71
16,63
17,200
18,134
19,90
20,200
21,141
22,108
23,153
24,99
25,60
26,144
27,108
28,162
29,167
30,179
31,36
32,34
33,42
34,34
35,36
36,124
37,130
38,119
39,126
40,129
41,108
42,82
43,
44,54
45,90
46,
47,54
48,54
49,72
50,72
51,54
52,72
53,72
54,54
55,72
56,54
57,54
58,36
59,72
60,54
61,72
62,54
63,72
64,54
65,48
66,54
67,54
68,90
69,90
70,36
71,90
72,112
73,90
74,112
75,90
76,90
77,112
78,90
79,90
80,90
81,90
82,100
83,100
84,100
85,100
86,100
87,100
88,100
89,90
90,100
91,100
92,100
93,100
94,90
95,100
96,100
97,100
98,90
99,100
100,100
101,90
102,100
103,100
104,100
105,100
106,100
107,90
108,100
109,100
110,90
111,100
112,100
113,100
114,80
115,108
116,84
117,218
118,160
119,134
120,270
121,200
122,100
123,140
124,100
125,184
126,122
127,116
128,144
129,142
130,132
131,98
132,192
133,342
134,300
135,300
136,204
137,225
138,144
139,300
140,189
141,200
142,300
143,261
144,230
145,85
146,110
147,60
148,100
149,100
150,100
151,
152,100
153,130
154,135
155,80
156,125
157,130
158,142
159,144
160,143
161,
162,100
163,88
164,56
165,100
166,100
167,100
168,52
169,40
170,104
171,120
172,80
173,53
174,54
175,53
176,
177,
178,174
179,86
180,
181,
