row_index,total_horas_actividades_de_investigacion
0,144
1,
2,192
3,460
4,284
5,
6,239
7,
8,341
9,192
10,240
11,12
12,320
13,324
14,184
15,359
16,432
17,118
18,254
19,600
20,112
21,260
22,182
23,288
24,148
25,
26,248
27,408
28,196
29,148
30,148
31,280
32,288
33,280
34,288
35,280
36,
37,
38,
39,
40,
41,
42,
43,976
44,240
45,
46,
47,440
48,340
49,136
50,
51,128
52,108
53,328
54,312
55,280
56,48
57,321
58,154
59,80
60,352
61,288
62,288
63,188
64,340
65,480
66,272
67,428
68,72
69,
70,186
71,
72,
73,
74,
75,
76,
77,
78,96
79,144
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,48
114,48
115,15
116,220
117,215
118,262
119,422
120,
121,192
122,370
123,392
124,224
125,200
126,412
127,412
128,
129,104
130,288
131,638
132,
133,12
134,15
135,
136,150
137,140
138,396
139,
140,15
141,
142,15
143,78
144,15
145,376
146,
147,552
148,120
149,168
150,144
151,48
152,172
153,96
154,84
155,168
156,96
157,24
158,
159,
160,24
161,
162,40
163,46
164,100
165,40
166,89
167,50
168,134
169,118
170,
171,
172,
173,
174,
175,
176,
177,
178,48
179,
180,
181,
